Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Entry Criteria,Country,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),CPI
2000-0770-IDN,2000,Natural,Hydrological,Flood,Kill,Indonesia,100,21,386000,,386021,34000,67.35575898
2000-0469-IDN,2000,Natural,Hydrological,Landslide,Affect,Indonesia,,,,520,520,,67.35575898
2000-0721-IDN,2000,Natural,Hydrological,Landslide,Kill,Indonesia,52,19,,,19,,67.35575898
2000-0117-IDN,2000,Natural,Climatological,Wildfire,Declar/Int,Indonesia,,,,,,,67.35575898
2000-0108-IDN,2000,Natural,Biological,Epidemic,Kill,Indonesia,10,,1516,,1516,,67.35575898
2000-0320-IDN,2000,Natural,Biological,Epidemic,Kill,Indonesia,15,,203,,203,,67.35575898
2000-0082-IDN,2000,Natural,Hydrological,Landslide,Kill,Indonesia,34,,,,,11600,67.35575898
2000-0701-IDN,2000,Natural,Hydrological,Landslide,Kill,Indonesia,40,,54085,2125,56210,43000,67.35575898
2000-0438-KHM,2000,Natural,Hydrological,Flood,Kill,Cambodia,347,53,3448000,,3448053,160000,67.35575898
2000-0392-LAO,2000,Natural,Biological,Epidemic,Kill,Lao People's Democratic Republic (the),44,,,,,,67.35575898
2000-0583-LAO,2000,Natural,Hydrological,Flood,Affect,Lao People's Democratic Republic (the),15,,450000,,450000,1000,67.35575898
2000-0857-LAO,2000,Natural,Biological,Epidemic,Affect,Lao People's Democratic Republic (the),,,9685,,9685,,67.35575898
2000-0774-MYS,2000,Natural,Hydrological,Flood,Kill,Malaysia,12,,8000,,8000,1000,67.35575898
2000-0694-MYS,2000,Natural,Biological,Epidemic,Affect,Malaysia,2,,508,,508,,67.35575898
2000-0159-MYS,2000,Natural,Biological,Epidemic,Affect,Malaysia,2,,480,,480,,67.35575898
2000-0683-MYS,2000,Natural,Meteorological,Storm,Affect,Malaysia,,,500,,500,,67.35575898
2000-0414-PHL,2000,Natural,Hydrological,Landslide,Kill,Philippines (the),287,38,2800,,2838,,67.35575898
2000-0763-PHL,2000,Natural,Geophysical,Mass movement (dry),Kill,Philippines (the),11,,,,,,67.35575898
2000-0089-PHL,2000,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,68426,,68426,2214,67.35575898
2000-0066-PHL,2000,Natural,Hydrological,Flood,Affect,Philippines (the),,,,5250,5250,,67.35575898
2000-0396-PHL,2000,Natural,Meteorological,Storm,Kill,Philippines (the),11,,,120000,120000,7500,67.35575898
2000-0397-PHL,2000,Natural,Meteorological,Storm,Kill,Philippines (the),75,11,1483310,,1483321,25763,67.35575898
2000-0706-PHL,2000,Natural,Meteorological,Storm,Kill,Philippines (the),154,314,2435942,,2436256,17000,67.35575898
2000-0715-PHL,2000,Natural,Meteorological,Storm,Kill,Philippines (the),94,,1747872,,1747872,31000,67.35575898
2000-0788-PHL,2000,Natural,Meteorological,Storm,Affect,Philippines (the),48,26,164067,,164093,1000,67.35575898
2000-0783-PHL,2000,Natural,Biological,Epidemic,Affect,Philippines (the),1,,664,,664,,67.35575898
2001-0051-IDN,2001,Natural,Hydrological,Flood,Affect,Indonesia,130,,80000,,80000,10000,69.25933995
2001-0041-IDN,2001,Natural,Hydrological,Landslide,Kill,Indonesia,122,,,23000,23000,10000,69.25933995
2001-0046-IDN,2001,Natural,Hydrological,Landslide,Kill,Indonesia,63,,,,,,69.25933995
2001-0059-PHL,2001,Natural,Hydrological,Flood,Affect,Philippines (the),2,,12000,,12000,,69.25933995
2001-0054-PHL,2001,Natural,Meteorological,Storm,Kill,Philippines (the),55,84,,100000,100084,6000,69.25933995
1998-0578-SGP,1998,Natural,Biological,Epidemic,Kill,Singapore,1,,11,,11,,63.76045524
1998-0434-VNM,1998,Natural,Meteorological,Storm,Kill,Viet Nam,43,,81635,3010,84645,15000,63.76045524
1999-0244-VNM,1999,Natural,Hydrological,Flood,Kill,Viet Nam,40,,106885,8290,115175,19500,65.15554686
1999-0427-THA,1999,Natural,Hydrological,Flood,Kill,Thailand,10,,170000,,170000,,65.15554686
1999-0599-THA,1999,Natural,Hydrological,Flood,Affect,Thailand,,,,200,200,267,65.15554686
1999-0081-THA,1999,Natural,Hydrological,Flood,Affect,Thailand,3,,20000,,20000,,65.15554686
1999-0269-THA,1999,Natural,Hydrological,Flood,Affect,Thailand,7,,90700,,90700,13000,65.15554686
1999-0353-THA,1999,Natural,Hydrological,Flood,Affect,Thailand,,,862,,862,,65.15554686
1999-0616-THA,1999,Natural,Hydrological,Flood,Affect,Thailand,2,,2000,,2000,,65.15554686
1999-9037-THA,1999,Natural,Climatological,Drought,Affected,Thailand,,,6000000,,6000000,,65.15554686
1999-0637-VNM,1999,Natural,Meteorological,Storm,Kill,Viet Nam,10,,,,,,65.15554686
1999-0428-VNM,1999,Natural,Hydrological,Flood,Kill,Viet Nam,622,412,3414000,90000,3504412,237000,65.15554686
1999-0574-VNM,1999,Natural,Hydrological,Flood,Kill,Viet Nam,127,164,2118265,45265,2163694,53000,65.15554686
1999-9084-VNM,1999,Natural,Climatological,Drought,Affected,Viet Nam,,,1400000,,1400000,,65.15554686
2000-0674-SGP,2000,Natural,Biological,Epidemic,Affect,Singapore,2,,2022,,2022,,67.35575898
2000-0755-THA,2000,Natural,Hydrological,Flood,Kill,Thailand,51,570,808231,,808801,57500,67.35575898
2000-0777-THA,2000,Natural,Hydrological,Flood,Affect,Thailand,9,,12500,,12500,506,67.35575898
2000-0539-THA,2000,Natural,Meteorological,Storm,Affect,Thailand,2,,41219,,41219,,67.35575898
2000-0460-THA,2000,Natural,Biological,Epidemic,Kill,Thailand,89,,1946,,1946,,67.35575898
2000-0401-THA,2000,Natural,Hydrological,Flood,Affect,Thailand,,,2500,,2500,,67.35575898
2000-0446-THA,2000,Natural,Hydrological,Flood,SigDis,Thailand,47,,2500000,,2500000,51050,67.35575898
2000-0542-VNM,2000,Natural,Meteorological,Storm,Affect,Viet Nam,,4,,130,134,,67.35575898
2000-0408-VNM,2000,Natural,Hydrological,Flood,Kill,Viet Nam,460,4,5000000,,5000004,250000,67.35575898
2000-0748-VNM,2000,Natural,Hydrological,Flood,Kill,Viet Nam,36,3,25000,,25003,15000,67.35575898
2000-0439-VNM,2000,Natural,Hydrological,Landslide,Kill,Viet Nam,33,22,,,22,,67.35575898
2000-0680-VNM,2000,Natural,Hydrological,Landslide,Kill,Viet Nam,40,17,,,17,,67.35575898
2000-0518-VNM,2000,Natural,Meteorological,Storm,Kill,Viet Nam,15,4,,,4,5000,67.35575898
2000-0582-VNM,2000,Natural,Meteorological,Storm,Affect,Viet Nam,5,29,,6000,6029,21000,67.35575898
2000-0361-VNM,2000,Natural,Meteorological,Storm,Affect,Viet Nam,3,29,,100,129,,67.35575898
2000-0448-VNM,2000,Natural,Meteorological,Storm,Affect,Viet Nam,,,2005,,2005,,67.35575898
2000-0540-VNM,2000,Natural,Meteorological,Storm,Affect,Viet Nam,,100,,5630,5730,,67.35575898
2000-0541-VNM,2000,Natural,Meteorological,Storm,Affect,Viet Nam,,3,500,,503,35,67.35575898
2001-0614-PHL,2001,Natural,Meteorological,Storm,Kill,Philippines (the),290,147,1060000,,1060147,22700,69.25933995
2001-0758-PHL,2001,Natural,Meteorological,Storm,Affect,Philippines (the),6,8,54832,,54840,96,69.25933995
2001-0407-IDN,2001,Natural,Hydrological,Flood,Kill,Indonesia,257,4,,3690,3694,,69.25933995
2001-0719-IDN,2001,Natural,Hydrological,Flood,Kill,Indonesia,15,,,2000,2000,,69.25933995
2001-0176-THA,2001,Natural,Hydrological,Flood,Kill,Thailand,83,30,,4100,4130,4000,69.25933995
2001-0546-IDN,2001,Natural,Geophysical,Earthquake,Affect,Indonesia,,12,12500,,12512,,69.25933995
2001-0669-IDN,2001,Natural,Geophysical,Earthquake,SigDis,Indonesia,,,,,,,69.25933995
2001-0651-IDN,2001,Natural,Hydrological,Landslide,Affect,Indonesia,,,,310,310,,69.25933995
2001-0652-IDN,2001,Natural,Hydrological,Landslide,Affect,Indonesia,,,,600,600,,69.25933995
2001-0715-IDN,2001,Natural,Hydrological,Flood,Waiting,Indonesia,,,,,,,69.25933995
2001-0485-KHM,2001,Natural,Hydrological,Flood,Kill,Cambodia,56,,1669182,,1669182,15000,69.25933995
2001-9525-KHM,2001,Natural,Climatological,Drought,Affected,Cambodia,,,300000,,300000,,69.25933995
2001-0782-LAO,2001,Natural,Hydrological,Flood,Affect,Lao People's Democratic Republic (the),,,453000,,453000,,69.25933995
2001-0746-MMR,2001,Natural,Hydrological,Flood,Kill,Myanmar,51,,,3750,3750,,69.25933995
2001-0505-MYS,2001,Natural,Hydrological,Flood,Affect,Malaysia,,,10000,,10000,,69.25933995
2001-0693-MYS,2001,Natural,Hydrological,Flood,Affect,Malaysia,11,,18000,,18000,,69.25933995
2001-0600-MYS,2001,Natural,Hydrological,Flood,Affect,Malaysia,,,5000,,5000,,69.25933995
2001-0649-MYS,2001,Natural,Hydrological,Flood,Affect,Malaysia,,,200,,200,,69.25933995
2001-0297-PHL,2001,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,25576,,25576,792,69.25933995
2001-0461-PHL,2001,Natural,Geophysical,Volcanic activity,Affect,Philippines (the),,,57645,,57645,1788,69.25933995
2001-0445-PHL,2001,Natural,Hydrological,Flood,Kill,Philippines (the),37,,79000,,79000,8000,69.25933995
2001-0596-PHL,2001,Natural,Hydrological,Flood,Affect,Philippines (the),4,,300,,300,,69.25933995
2001-0319-PHL,2001,Natural,Meteorological,Storm,Kill,Philippines (the),232,241,1902413,,1902654,68565,69.25933995
2001-0792-PHL,2001,Natural,Meteorological,Storm,Affected,Philippines (the),,,295355,,295355,293,69.25933995
2001-0793-PHL,2001,Natural,Meteorological,Storm,Affected,Philippines (the),4,,37357,,37357,1407,69.25933995
2001-0308-THA,2001,Natural,Hydrological,Flood,Kill,Thailand,33,,4510,630,5140,,69.25933995
2001-0450-THA,2001,Natural,Hydrological,Flood,Kill,Thailand,104,109,450000,,450109,24500,69.25933995
2001-0479-THA,2001,Natural,Hydrological,Flood,Affect,Thailand,,,1000,,1000,,69.25933995
2001-0187-THA,2001,Natural,Hydrological,Flood,Affect,Thailand,2,,6000,,6000,,69.25933995
2001-0357-THA,2001,Natural,Meteorological,Storm,Affect,Thailand,,,150,,150,,69.25933995
2001-0528-THA,2001,Natural,Hydrological,Flood,Affect,Thailand,,,4000,,4000,,69.25933995
2002-0643-IDN,2002,Natural,Geophysical,Earthquake,Affect,Indonesia,8,632,8450,,9082,,70.35781897
2002-0018-IDN,2002,Natural,Hydrological,Flood,Kill,Indonesia,21,,40,,40,,70.35781897
2002-0005-PHL,2002,Natural,Hydrological,Flood,Kill,Philippines (the),11,8,95000,,95008,392,70.35781897
2002-0129-PHL,2002,Natural,Geophysical,Earthquake,Kill,Philippines (the),15,100,73351,,73451,1714,70.35781897
2002-0069-THA,2002,Natural,Meteorological,Storm,Affect,Thailand,1,100,25000,2604,27704,2000,70.35781897
2002-0512-IDN,2002,Natural,Geophysical,Earthquake,Kill,Indonesia,,48,2500,,2548,,70.35781897
2002-0820-IDN,2002,Natural,Geophysical,Earthquake,Affect,Indonesia,,,155,,155,,70.35781897
2002-0822-IDN,2002,Natural,Geophysical,Earthquake,SigDam,Indonesia,3,60,,,60,,70.35781897
2002-0701-IDN,2002,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,5000,,5000,,70.35781897
2002-0035-IDN,2002,Natural,Hydrological,Flood,Kill,Indonesia,13,,2000,,2000,,70.35781897
2002-0054-IDN,2002,Natural,Hydrological,Flood,Kill,Indonesia,150,750,500000,,500750,350000,70.35781897
2002-0186-IDN,2002,Natural,Hydrological,Flood,Kill,Indonesia,14,,780,,780,,70.35781897
2002-0236-IDN,2002,Natural,Hydrological,Flood,Kill,Indonesia,19,,,,,,70.35781897
2002-0291-IDN,2002,Natural,Hydrological,Flood,Affect,Indonesia,,,1000,,1000,,70.35781897
2002-0732-IDN,2002,Natural,Hydrological,Flood,Kill,Indonesia,13,,87000,,87000,1600,70.35781897
2002-0615-IDN,2002,Natural,Climatological,Wildfire,Affect,Indonesia,,200,,,200,,70.35781897
2002-0031-IDN,2002,Natural,Biological,Epidemic,Kill,Indonesia,17,,757,,757,,70.35781897
2002-0858-IDN,2002,Natural,Biological,Epidemic,Affect,Indonesia,,,2,,2,,70.35781897
2002-0769-IDN,2002,Natural,Hydrological,Landslide,Kill,Indonesia,32,5,,,5,,70.35781897
2002-0522-KHM,2002,Natural,Hydrological,Flood,Kill,Cambodia,29,,1470000,,1470000,100,70.35781897
2002-9485-KHM,2002,Natural,Climatological,Drought,Affected,Cambodia,,,650000,,650000,38000,70.35781897
2002-0614-LAO,2002,Natural,Hydrological,Flood,Affect,Lao People's Democratic Republic (the),2,,150000,,150000,,70.35781897
2002-0536-MMR,2002,Natural,Hydrological,Flood,Affect,Myanmar,21,,50000,,50000,,70.35781897
2002-0231-MYS,2002,Natural,Meteorological,Storm,Affect,Malaysia,2,,155,,155,,70.35781897
2002-0064-MYS,2002,Natural,Hydrological,Landslide,Kill,Malaysia,10,,,,,,70.35781897
2002-0858-MYS,2002,Natural,Biological,Epidemic,Affect,Malaysia,2,,3,,3,,70.35781897
2002-0499-PHL,2002,Natural,Hydrological,Flood,Affect,Philippines (the),26,59,3500,,3559,,70.35781897
2002-0532-PHL,2002,Natural,Hydrological,Flood,Affect,Philippines (the),18,,7000,,7000,,70.35781897
2002-0176-PHL,2002,Natural,Hydrological,Flood,Kill,Philippines (the),35,,50000,,50000,1450,70.35781897
2002-0408-PHL,2002,Natural,Meteorological,Storm,Kill,Philippines (the),33,41,700000,,700041,1000,70.35781897
2002-0423-PHL,2002,Natural,Meteorological,Storm,Kill,Philippines (the),62,,11000,,11000,5664,70.35781897
2002-0528-PHL,2002,Natural,Meteorological,Storm,Affect,Philippines (the),7,,,3000,3000,,70.35781897
2002-0858-PHL,2002,Natural,Biological,Epidemic,Affect,Philippines (the),2,,12,,12,,70.35781897
2002-9164-PHL,2002,Natural,Climatological,Drought,Affected,Philippines (the),,,,,,453,70.35781897
2002-0875-PHL,2002,Natural,Meteorological,Storm,Kill,Philippines (the),42,2,54629,,54631,3292,70.35781897
2002-0877-PHL,2002,Natural,Meteorological,Storm,Kill,Philippines (the),14,2,19048,,19050,238,70.35781897
2002-0878-PHL,2002,Natural,Meteorological,Storm,Kill,Philippines (the),57,21,194451,,194472,3340,70.35781897
2002-0858-SGP,2002,Natural,Biological,Epidemic,Affect,Singapore,33,,205,,205,,70.35781897
2002-0286-THA,2002,Natural,Meteorological,Storm,Affect,Thailand,,,2000,500,2500,,70.35781897
2002-0629-THA,2002,Natural,Hydrological,Flood,Affect,Thailand,,,1500,,1500,,70.35781897
2002-0641-THA,2002,Natural,Hydrological,Flood,Kill,Thailand,154,62,3289358,,3289420,35827,70.35781897
2002-0562-THA,2002,Natural,Hydrological,Landslide,Kill,Thailand,35,,,33000,33000,,70.35781897
2002-0858-THA,2002,Natural,Biological,Epidemic,Affect,Thailand,2,,7,,7,,70.35781897
2002-9158-THA,2002,Natural,Climatological,Drought,Affected,Thailand,,,5000000,,5000000,2300,70.35781897
2003-0016-IDN,2003,Natural,Hydrological,Flood,Affect,Indonesia,3,,10000,,10000,,71.95500655
2003-0069-IDN,2003,Natural,Geophysical,Earthquake,Affect,Indonesia,,2,2500,,2502,,71.95500655
2003-0074-IDN,2003,Natural,Hydrological,Flood,Affect,Indonesia,1,,15000,,15000,,71.95500655
2003-0118-IDN,2003,Natural,Hydrological,Flood,Affect,Indonesia,3,,33000,,33000,,71.95500655
2003-0053-IDN,2003,Natural,Hydrological,Landslide,Kill,Indonesia,21,74,1686,,1760,,71.95500655
2003-0060-IDN,2003,Natural,Hydrological,Landslide,Kill,Indonesia,10,,20,,20,,71.95500655
2003-0021-IDN,2003,Natural,Hydrological,Flood,Affect,Indonesia,,,230,,230,,71.95500655
2003-0067-IDN,2003,Natural,Hydrological,Flood,Kill,Indonesia,10,,3700,,3700,,71.95500655
2001-0654-VNM,2001,Natural,Hydrological,Flood,Affect,Viet Nam,,,3000,,3000,,69.25933995
2001-0587-VNM,2001,Natural,Hydrological,Flood,Kill,Viet Nam,20,6,35000,,35006,4700,69.25933995
2001-0492-VNM,2001,Natural,Hydrological,Flood,Kill,Viet Nam,310,,1570270,,1570270,84000,69.25933995
2001-0318-VNM,2001,Natural,Meteorological,Storm,Kill,Viet Nam,30,3,117450,,117453,25000,69.25933995
2001-0436-VNM,2001,Natural,Meteorological,Storm,Affect,Viet Nam,3,3,,10000,10003,3200,69.25933995
2001-0624-VNM,2001,Natural,Meteorological,Storm,Kill,Viet Nam,20,83,60000,13100,73183,55000,69.25933995
2001-0361-VNM,2001,Natural,Hydrological,Flood,Affect,Viet Nam,9,,175,,175,,69.25933995
2001-0320-TLS,2001,Natural,Hydrological,Flood,Affect,Timor-Leste,1,,2508,,2508,,69.25933995
2002-0725-VNM,2002,Natural,Meteorological,Storm,Affect,Viet Nam,,,1800,,1800,100,70.35781897
2002-0470-VNM,2002,Natural,Hydrological,Flood,Kill,Viet Nam,10,,2000,,2000,2200,70.35781897
2002-0580-VNM,2002,Natural,Hydrological,Flood,Kill,Viet Nam,82,,1138200,,1138200,23900,70.35781897
2002-0610-VNM,2002,Natural,Hydrological,Flood,Kill,Viet Nam,55,116,291500,,291616,58000,70.35781897
2002-0197-VNM,2002,Natural,Climatological,Wildfire,SigDis,Viet Nam,,,,,,,70.35781897
2002-0858-VNM,2002,Natural,Biological,Epidemic,Affect,Viet Nam,5,,58,,58,,70.35781897
2002-9132-VNM,2002,Natural,Climatological,Drought,Affected,Viet Nam,,,1300000,,1300000,200000,70.35781897
2003-0531-IDN,2003,Natural,Hydrological,Flood,Kill,Indonesia,241,30,1468,,1498,,71.95500655
2003-0593-IDN,2003,Natural,Hydrological,Flood,Affected,Indonesia,8,,25000,,25000,,71.95500655
2003-0776-IDN,2003,Natural,Hydrological,Flood,Kill,Indonesia,148,,350000,,350000,,71.95500655
2003-0155-IDN,2003,Natural,Hydrological,Landslide,Kill,Indonesia,76,248,229300,,229548,3961,71.95500655
2003-0254-IDN,2003,Natural,Geophysical,Earthquake,Affected,Indonesia,1,7,100,140,247,,71.95500655
2003-0414-IDN,2003,Natural,Geophysical,Earthquake,Affected,Indonesia,,,500,,500,,71.95500655
2003-0144-IDN,2003,Natural,Hydrological,Landslide,Kill,Indonesia,12,,,,,,71.95500655
2003-9760-IDN,2003,Natural,Climatological,Drought,Affected,Indonesia,,,15000,,15000,1000,71.95500655
2004-0062-IDN,2004,Natural,Meteorological,Storm,Affected,Indonesia,4,,2400,,2400,,73.88141244
2004-0040-IDN,2004,Natural,Geophysical,Earthquake,Kill,Indonesia,37,682,13390,,14072,1000,73.88141244
2004-0607-IDN,2004,Natural,Geophysical,Earthquake,Kill,Indonesia,32,213,12620,,12833,55000,73.88141244
2004-0562-IDN,2004,Natural,Geophysical,Earthquake,Kill,Indonesia,33,311,83070,,83381,,73.88141244
2004-0033-IDN,2004,Natural,Geophysical,Volcanic activity,Affected,Indonesia,,,4615,,4615,,73.88141244
2004-0659-IDN,2004,Natural,Geophysical,Earthquake,Kill,Indonesia,165708,,,532898,532898,4451600,73.88141244
2004-0061-IDN,2004,Natural,Hydrological,Landslide,Kill,Indonesia,29,,,,,3500,73.88141244
2004-0177-IDN,2004,Natural,Hydrological,Landslide,Kill,Indonesia,44,11,,,11,,73.88141244
2004-0001-IDN,2004,Natural,Geophysical,Earthquake,Affected,Indonesia,1,40,30000,,30040,12000,73.88141244
2004-0088-IDN,2004,Natural,Geophysical,Earthquake,Affected,Indonesia,5,7,500,,507,,73.88141244
2004-0251-IDN,2004,Natural,Geophysical,Volcanic activity,Affected,Indonesia,,100,16728,,16828,,73.88141244
2004-0269-IDN,2004,Natural,Geophysical,Volcanic activity,Affected,Indonesia,2,5,20000,,20005,,73.88141244
2004-0463-IDN,2004,Natural,Geophysical,Volcanic activity,Affected,Indonesia,,,2100,,2100,,73.88141244
2004-0098-IDN,2004,Natural,Hydrological,Flood,Affected,Indonesia,5,,13000,,13000,60000,73.88141244
2004-0129-IDN,2004,Natural,Hydrological,Landslide,Kill,Indonesia,33,,5000,,5000,,73.88141244
2004-0173-IDN,2004,Natural,Hydrological,Landslide,Kill,Indonesia,13,7,,,7,,73.88141244
2004-0144-IDN,2004,Natural,Meteorological,Storm,Affected,Indonesia,,,1315,,1315,,73.88141244
2004-0093-IDN,2004,Natural,Biological,Epidemic,Kill,Indonesia,658,,58301,,58301,,73.88141244
2004-0515-IDN,2004,Natural,Biological,Epidemic,Affected,Indonesia,87,,21,,21,,73.88141244
2005-0223-IDN,2005,Natural,Hydrological,Flood,Kill,Indonesia,47,18,750,,768,,76.38802721
2005-0160-IDN,2005,Natural,Geophysical,Earthquake,Kill,Indonesia,915,1146,104167,,105313,,76.38802721
2005-0031-IDN,2005,Natural,Geophysical,Earthquake,Waiting,Indonesia,1,4,680,,684,,76.38802721
2005-0202-IDN,2005,Natural,Geophysical,Volcanic activity,Affected,Indonesia,,,26000,,26000,,76.38802721
2005-0089-IDN,2005,Natural,Hydrological,Landslide,Kill,Indonesia,143,,,,,5000,76.38802721
2003-0258-PHL,2003,Natural,Meteorological,Storm,Kill,Philippines (the),51,16,11345,2548,13909,4000,71.95500655
2003-0290-PHL,2003,Natural,Meteorological,Storm,Kill,Philippines (the),13,3,46472,80655,127130,2455,71.95500655
2003-0289-PHL,2003,Natural,Hydrological,Flood,Affected,Philippines (the),,,3500,,3500,,71.95500655
2003-0774-THA,2003,Natural,Hydrological,Flood,Affected,Thailand,,,,,,,71.95500655
2003-0557-VNM,2003,Natural,Hydrological,Flood,Kill,Viet Nam,61,34,185135,8880,194049,35000,71.95500655
2003-0437-VNM,2003,Natural,Meteorological,Storm,Affected,Viet Nam,,18,,5000,5018,,71.95500655
2003-0610-PHL,2003,Natural,Hydrological,Landslide,Kill,Philippines (the),255,54,217934,,217988,7000,71.95500655
2003-0346-PHL,2003,Natural,Meteorological,Storm,Kill,Philippines (the),21,,14280,,14280,26468,71.95500655
2003-0604-MYS,2003,Natural,Hydrological,Flood,Affected,Malaysia,5,,3000,,3000,,71.95500655
2003-0655-MYS,2003,Natural,Hydrological,Flood,Affected,Malaysia,,,2000,,2000,,71.95500655
2003-0774-MYS,2003,Natural,Hydrological,Flood,Affected,Malaysia,3,,13800,,13800,,71.95500655
2003-0822-PHL,2003,Natural,Meteorological,Storm,Affected,Philippines (the),8,1,116601,,116602,1499,71.95500655
2003-0823-PHL,2003,Natural,Meteorological,Storm,Affected,Philippines (the),,,3748,,3748,146,71.95500655
2003-0824-PHL,2003,Natural,Meteorological,Storm,Affected,Philippines (the),,,155147,,155147,661,71.95500655
2003-0825-PHL,2003,Natural,Meteorological,Storm,Affected,Philippines (the),1,,1156,,1156,73,71.95500655
2003-0826-PHL,2003,Natural,Meteorological,Storm,Affected,Philippines (the),1,1,34288,,34289,,71.95500655
2003-0235-THA,2003,Natural,Meteorological,Storm,Affect,Thailand,,,5000,,5000,,71.95500655
2003-0617-THA,2003,Natural,Hydrological,Flood,Affected,Thailand,6,,104700,,104700,1400,71.95500655
2003-0561-THA,2003,Natural,Hydrological,Flood,Affected,Thailand,3,,3000,,3000,25000,71.95500655
2003-0715-THA,2003,Natural,Biological,Epidemic,Kill,Thailand,7,,4,,4,,71.95500655
2003-0505-VNM,2003,Natural,Hydrological,Flood,Kill,Viet Nam,52,29,216745,5000,221774,32000,71.95500655
2003-0672-VNM,2003,Natural,Hydrological,Flood,Kill,Viet Nam,15,,1000,,1000,38000,71.95500655
2003-0715-VNM,2003,Natural,Biological,Epidemic,Kill,Viet Nam,15,,8,,8,,71.95500655
2004-0218-PHL,2004,Natural,Meteorological,Storm,Kill,Philippines (the),31,14,,700,714,1000,73.88141244
2004-0590-MYS,2004,Natural,Meteorological,Storm,Affected,Malaysia,1,,40000,,40000,,73.88141244
2004-0435-PHL,2004,Natural,Meteorological,Storm,Affected,Philippines (the),35,,1058849,,1058849,,73.88141244
2004-0602-PHL,2004,Natural,Meteorological,Storm,Kill,Philippines (the),29,14,,2000,2014,,73.88141244
2004-0609-PHL,2004,Natural,Meteorological,Storm,Kill,Philippines (the),1619,1023,880000,,881023,78200,73.88141244
2004-0244-THA,2004,Natural,Meteorological,Storm,Kill,Thailand,13,,5000,50,5050,,73.88141244
2004-0580-VNM,2004,Natural,Meteorological,Storm,Affected,Viet Nam,56,,500000,,500000,23000,73.88141244
2004-0258-THA,2004,Natural,Meteorological,Storm,Kill,Thailand,1,,4000,,4000,,73.88141244
2004-0235-MMR,2004,Natural,Meteorological,Storm,Kill,Myanmar,236,,,25000,25000,688,73.88141244
2004-0087-PHL,2004,Natural,Hydrological,Flood,Affected,Philippines (the),7,,20000,,20000,,73.88141244
2004-0580-PHL,2004,Natural,Meteorological,Storm,Affected,Philippines (the),104,240,838434,,838674,6000,73.88141244
2004-0354-VNM,2004,Natural,Hydrological,Flood,Kill,Viet Nam,53,18,,,18,8000,73.88141244
2004-0659-MYS,2004,Natural,Geophysical,Earthquake,Kill,Malaysia,80,767,,4296,5063,500000,73.88141244
2004-0659-THA,2004,Natural,Geophysical,Earthquake,Kill,Thailand,8345,8457,58550,,67007,1000000,73.88141244
2004-0735-VNM,2004,Natural,Hydrological,Flood,Kill,Viet Nam,34,,30000,,30000,,73.88141244
2004-0309-PHL,2004,Natural,Meteorological,Storm,Kill,Philippines (the),28,12,385000,,385012,19667,73.88141244
2004-0735-KHM,2004,Natural,Hydrological,Flood,Kill,Cambodia,,,,,,,73.88141244
2004-0515-KHM,2004,Natural,Biological,Epidemic,Affected,Cambodia,7,,,,,,73.88141244
2004-0515-LAO,2004,Natural,Biological,Epidemic,Affected,Lao People's Democratic Republic (the),2,,,,,,73.88141244
2004-0659-MMR,2004,Natural,Geophysical,Earthquake,Kill,Myanmar,71,,12500,3200,15700,500000,73.88141244
2004-0050-MYS,2004,Natural,Hydrological,Flood,Affected,Malaysia,3,,6900,,6900,,73.88141244
2004-0119-MYS,2004,Natural,Hydrological,Flood,Affected,Malaysia,,,9138,,9138,,73.88141244
2004-0635-MYS,2004,Natural,Hydrological,Flood,Kill,Malaysia,13,,,15000,15000,10000,73.88141244
2004-0403-MYS,2004,Natural,Meteorological,Storm,Affected,Malaysia,,,1000,,1000,,73.88141244
2004-0267-PHL,2004,Natural,Meteorological,Storm,Affected,Philippines (the),7,4,,4500,4504,,73.88141244
2004-0311-PHL,2004,Natural,Hydrological,Flood,Affected,Philippines (the),15,,,1500,1500,,73.88141244
2004-0028-PHL,2004,Natural,Hydrological,Flood,Kill,Philippines (the),27,,194,,194,,73.88141244
2004-0634-PHL,2004,Natural,Hydrological,Landslide,Kill,Philippines (the),8,6,,,6,,73.88141244
2004-0618-PHL,2004,Natural,Meteorological,Storm,Affected,Philippines (the),8,8,70480,,70488,34000,73.88141244
2004-0673-PHL,2004,Natural,Biological,Epidemic,Kill,Philippines (the),32,,98,,98,,73.88141244
2004-0501-THA,2004,Natural,Hydrological,Flood,Affected,Thailand,2,,2000,,2000,,73.88141244
2004-0441-THA,2004,Natural,Hydrological,Flood,Affected,Thailand,9,,500000,,500000,,73.88141244
2004-0635-THA,2004,Natural,Hydrological,Flood,Kill,Thailand,2,,5000,,5000,175000,73.88141244
2004-0547-THA,2004,Natural,Hydrological,Landslide,Affected,Thailand,3,10,100,,110,,73.88141244
2004-0515-THA,2004,Natural,Biological,Epidemic,Affected,Thailand,14,,8,,8,,73.88141244
2004-0328-VNM,2004,Natural,Hydrological,Flood,Affected,Viet Nam,9,,5000,,5000,,73.88141244
